videoPlayCount,url,hashtags,videoViewCount,videoDuration,commentsCount,mentions,caption,timestamp
86960.0,https://www.instagram.com/p/DIyCQSGgZO6/,nextwomens,25973.0,23.241,9,"gratsikat, grandykat",From coffee to cocktails...a signature waistcoat makes for the perfect outfit base✨ @gratsikat @grandykat  #nextwomens,2025-04-23T08:11:48.000Z
92795.0,https://www.instagram.com/p/DJHJy-ttsnq/,nextwomens,19396.0,11.006,10,,The ultimate outfit inspo for chasing sunsets and sipping spritzes this holiday season  #nextwomens,2025-05-01T13:18:07.000Z
102394.0,https://www.instagram.com/p/DIinFy5guPm/,nextwomens,29686.0,30.466,3,joannachimonides,Because sunshine season fits should never be boring...✨ @joannachimonides  #nextwomens,2025-04-17T08:25:19.000Z
,https://www.instagram.com/p/DIVie-Gx_UK/,nextwomens,,,20,missjamiefirth,White jeans: The comeback we’ve all been waiting for @missjamiefirth  #nextwomens,2025-04-12T07:00:55.000Z
126354.0,https://www.instagram.com/p/DIdbadYgk69/,nextwomens,40014.0,30.37,19,_meaganwells,Psssttttt...summer is calling  wherever the destination...we’ve got the fits to match  @_meaganwells  #nextwomens,2025-04-15T08:06:29.000Z
,https://www.instagram.com/p/DIa1Dygtt7T/,nextwomens,,,4,,Our go-to print for soaking up the sun this season #nextwomens,2025-04-14T08:00:18.000Z
,https://www.instagram.com/p/DIRI3eks-Pn/,nextwomens,,,3,,Outfits for every destination. Where to next? ✈️ #nextwomens,2025-04-10T14:00:11.000Z
125528.0,https://www.instagram.com/p/DIgG-VOAmNu/,nextwomens,38903.0,29.999,15,emmarosethatcher,We’ll be obsessing over this crochet set until further notice  @emmarosethatcher  #nextwomens,2025-04-16T09:05:35.000Z
85128.0,https://www.instagram.com/p/DIqihwTgBDX/,,17567.0,15.3,7,the.table.stylist,"Bringing a touch of spring magic to the table ✨
Happy Easter everyone  @the.table.stylist",2025-04-20T10:16:10.000Z
,https://www.instagram.com/p/DIlGBZvgTSn/,nextwomens,,,2,,It’s official: drop waist dresses are having a moment and we couldn't be happier  #nextwomens,2025-04-18T08:00:04.000Z
81663.0,https://www.instagram.com/p/DIZAscztZ6R/,nextwomens,17170.0,11.098,29,,Fashion forecast: A high chance of bold prints with a side of sunshine  #nextwomens,2025-04-13T14:53:13.000Z
313817.0,https://www.instagram.com/p/DIvfRvkAhNI/,nextwomens,125920.0,26.3,38,perriesian,4 outfits that’ll convice you to book that summer holiday ✈️ @perriesian  #nextwomens,2025-04-22T08:28:24.000Z
,https://www.instagram.com/p/DInq4U7sjXY/,nextkids,,,9,,Spending our weekend dreaming of golden hour somewhere balmy ☀️ #nextkids,2025-04-19T08:00:39.000Z
108545.0,https://www.instagram.com/p/DI-7QsxAgOy/,nextwomens,25163.0,14.14,15,styledbykeelie,"Welcoming the sunshine back with 6 of our favourite spring summer looks ☺️✨
@styledbykeelie  #nextwomens",2025-04-28T08:20:53.000Z
,https://www.instagram.com/p/DIN4oingdle/,nextwomens,,,12,,POV: our camera roll after shooting for our new campaign in Mexico  #nextwomens,2025-04-09T07:10:51.000Z
,https://www.instagram.com/p/DH5-4n7thT3/,nextwomens,,,9,,A jacket you’ll find yourself reaching for over and over again this spring ✨ #nextwomens,2025-04-01T13:40:40.000Z
